08/09/2017 15:46:41 - INFORMATION -Server - Start server
08/09/2017 15:47:08 - INFORMATION -thanh - SignIn successfull
08/09/2017 15:47:23 - WARNING - thanh - Change password illegal
08/09/2017 15:47:31 - INFORMATION -thanh - Change password
08/09/2017 15:48:04 - INFORMATION -thanh - Request logout
08/09/2017 15:48:04 - INFORMATION -thanh - Logout successfull
08/09/2017 16:21:48 - INFORMATION - Server - Start server
08/09/2017 16:22:14 - INFORMATION - thanh - SignIn successfull
08/09/2017 16:22:31 - INFORMATION - thien - SignIn successfull
08/09/2017 16:22:52 - INFORMATION - thien - Request logout
08/09/2017 16:22:52 - INFORMATION - thien - Logout successfull
08/09/2017 16:22:54 - INFORMATION - thanh - Request logout
08/09/2017 16:22:54 - INFORMATION - thanh - Logout successfull
08/09/2017 16:25:34 - INFORMATION - thanh - SignIn successfull
08/09/2017 16:25:37 - INFORMATION - thanh - Request logout
08/09/2017 16:25:37 - INFORMATION - thanh - Logout successfull
08/09/2017 16:25:47 - INFORMATION - Server - Stop server
08/09/2017 19:06:57 - INFORMATION - Server - Start server
08/09/2017 19:08:17 - INFORMATION - thanh - SignIn successfull
08/09/2017 19:08:44 - INFORMATION - thien - SignIn successfull
08/09/2017 19:08:55 - INFORMATION - thanh - Request logout
08/09/2017 19:08:55 - INFORMATION - thanh - Logout successfull
08/09/2017 19:27:43 - INFORMATION - Server - Start server
08/09/2017 19:29:05 - INFORMATION - Server - Stop server
08/09/2017 19:30:38 - INFORMATION - Server - Start server
08/09/2017 19:32:53 - INFORMATION - Server - Start server
08/09/2017 19:33:14 - INFORMATION - thuan - SignIn fail
08/09/2017 19:33:17 - INFORMATION - thuan - SignIn successfull
08/09/2017 19:33:39 - INFORMATION - thanh - SignIn fail
08/09/2017 19:33:42 - INFORMATION - thanh - SignIn successfull
08/09/2017 19:34:53 - INFORMATION - thuan - Request logout
08/09/2017 19:34:53 - INFORMATION - thuan - Logout successfull
08/09/2017 19:37:39 - INFORMATION - tuan - Register successfull
08/09/2017 19:39:15 - WARNING - thanh - Change password illegal
08/09/2017 19:39:23 - INFORMATION - thanh - Change password
08/09/2017 19:41:25 - INFORMATION - thanh - Request logout
08/09/2017 19:41:25 - INFORMATION - thanh - Logout successfull
08/09/2017 19:46:20 - INFORMATION - thang - Register successfull
08/09/2017 19:47:12 - INFORMATION - thang - SignIn successfull
08/09/2017 19:47:16 - INFORMATION - thang - Request logout
08/09/2017 19:47:16 - INFORMATION - thang - Logout successfull
08/09/2017 19:48:46 - INFORMATION - thuan - SignIn successfull
08/09/2017 19:49:06 - INFORMATION - thanh - SignIn successfull
08/09/2017 19:50:44 - INFORMATION - thang - SignIn successfull
08/09/2017 19:57:23 - INFORMATION - Server - Start server
08/09/2017 19:57:39 - INFORMATION - thuan - SignIn successfull
08/09/2017 19:57:58 - INFORMATION - thanh - SignIn fail
08/09/2017 19:58:03 - INFORMATION - thanh - SignIn successfull
08/09/2017 19:59:56 - INFORMATION - thanh - Request logout
08/09/2017 19:59:56 - INFORMATION - thanh - Logout successfull
08/09/2017 22:49:32 - INFORMATION - Server - Start server
08/09/2017 23:12:39 - INFORMATION - thuan - SignIn successfull
08/09/2017 23:12:46 - INFORMATION - thuan - Request logout
08/09/2017 23:12:46 - INFORMATION - thuan - Logout successfull
08/09/2017 23:39:45 - INFORMATION - thuan - SignIn successfull
08/09/2017 23:39:47 - INFORMATION - thuan - Request logout
08/09/2017 23:39:47 - INFORMATION - thuan - Logout successfull
08/09/2017 23:50:39 - INFORMATION - thuan - SignIn successfull
08/09/2017 23:50:41 - INFORMATION - thuan - Request logout
08/09/2017 23:50:41 - INFORMATION - thuan - Logout successfull
08/09/2017 23:51:27 - INFORMATION - thuan - SignIn successfull
08/09/2017 23:51:48 - INFORMATION - thanh - SignIn successfull
08/09/2017 23:52:18 - INFORMATION - thanh - Request logout
08/09/2017 23:52:18 - INFORMATION - thanh - Logout successfull
08/09/2017 23:57:09 - INFORMATION - thuan - Request logout
08/09/2017 23:57:09 - INFORMATION - thuan - Logout successfull
08/09/2017 23:57:39 - INFORMATION - thuan - SignIn successfull
08/09/2017 23:57:55 - INFORMATION - thanh - SignIn successfull
08/09/2017 23:58:01 - INFORMATION - thanh - Request logout
08/09/2017 23:58:01 - INFORMATION - thanh - Logout successfull
08/09/2017 23:58:15 - INFORMATION - thuan - Request logout
08/09/2017 23:58:15 - INFORMATION - thuan - Logout successfull
08/09/2017 23:58:37 - INFORMATION - thuan - SignIn successfull
08/09/2017 23:58:51 - INFORMATION - thanh - SignIn successfull
08/09/2017 23:59:08 - INFORMATION - thanh - Request logout
08/09/2017 23:59:08 - INFORMATION - thanh - Logout successfull
09/09/2017 00:08:27 - INFORMATION - thuan - SignIn successfull
